DAY,AMOUNT
1671,5057
1672,0
1673,0
1674,0
1675,0
1676,0
1677,20
1678,68
1679,39
1680,10
1681,0
1682,802
1683,0
1684,0
1685,0
1686,208401
1687,0
1688,0
1689,3172
1690,84
1691,200
1692,0
1693,0
1694,0
1695,0
1696,0
1697,0
1698,121
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,0
1707,21
1708,0
1709,0
1710,0
1711,0
1712,3414919
1713,308
1714,14
1715,398
1716,252
1717,909
1718,3232
1719,42
1720,53
1721,4179
1722,82
1723,22
1724,136
1725,21
1726,8
1727,3
1728,3041
1729,39
1730,1529
1731,22
1732,35
1733,109
1734,49
1735,4
1736,282
1737,389
1738,15287
1739,1586
1740,580
1741,21
1742,245
1743,6
1744,33643
1745,18
1746,779
1747,7392
1748,1121
1749,12
1750,501
1751,8624
1752,393
1753,141859
1754,100
1755,0
1756,398
1757,6382
1758,43
1759,341
1760,1453
1761,100
1762,2385
1763,53
1764,201
1765,11702
1766,25
1767,8
1768,2578
1769,199
1770,123
1771,18
1772,6970
1773,88
1774,29
1775,2434
1776,0
1777,461
1778,80
1779,775
1780,103
1781,131
1782,53
1783,2979
1784,242
1785,107
1786,76
1787,103
1788,730
1789,248
1790,434
1791,30
1792,560
1793,232
1794,8
1795,120
1796,0
1797,0
1798,62
1799,5
1800,0
1801,1137
1802,107
1803,2
1804,0
1805,68
1806,782
1807,23223
1808,675
1809,186
1810,30
1811,64
1812,0
1813,295
1814,118
1815,68
1816,2175
1817,0
1818,4
1819,0
1820,0
1821,2
1822,0
1823,350
1824,10
1825,181
1826,2
1827,0
1828,40
1829,4
1830,0
1831,3
1832,0
1833,0
1834,4
1835,0
1836,0
1837,99
1838,30
1839,0
1840,0
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,1835
1848,0
1849,3
1850,0
1851,0
1852,17443
1853,2421
1854,2250
1855,17767
1856,3126
1857,4584
1858,2650
1859,0
1860,4988
1861,0
1862,12196
1863,0
1864,3
1865,0
1866,12219
1867,3
1868,0
1869,0
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,11
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,70
1900,0
1901,140
1902,129164
1903,89
1904,326
1905,187
1906,2530
1907,102
1908,49
1909,0
1910,506
1911,19754
1912,303
1913,401
1914,10384
1915,4143
1916,321
1917,2748
1918,207
1919,143
1920,624
1921,487
1922,22
1923,56
1924,26
1925,96072
1926,0
1927,1085
1928,669
1929,120
1930,0
1931,83
1932,79
1933,120
1934,2
1935,49
1936,101
1937,24
1938,112
1939,244
1940,139
1941,204
1942,108
1943,2273
1944,58
1945,62
1946,676
1947,0
1948,229
1949,166
1950,177
1951,584
1952,220
1953,375
1954,267
1955,228
1956,14
1957,813
1958,1709
1959,722
1960,19
1961,478
1962,66
1963,56
1964,20
1965,32
1966,44
1967,50
1968,129
1969,288857
1970,6
1971,6
1972,57
1973,0
1974,30
1975,2
1976,2573
1977,13412
1978,128
1979,128
1980,0
1981,15
1982,250
1983,0
1984,8892
1985,3396
1986,0
1987,0
1988,0
1989,3
1990,3
1991,0
1992,0
1993,7
1994,0
1995,7
1996,4
1997,663
1998,1345
1999,0
2000,3466
2001,315
2002,0
2003,468
2004,2550
2005,268
2006,0
2007,259
2008,6
2009,72
2010,236
2011,24
2012,1575
2013,3671
2014,685
2015,173
2016,16226
2017,520
2018,112
2019,376
2020,219
2021,515
2022,0
2023,6
2024,616
2025,242
2026,428
2027,287
2028,4
2029,118
