DAY,AMOUNT
2347,563
2348,89
2349,15
2350,174
2351,465
2352,43
2353,24
2354,1184
2355,0
2356,3
2357,138
2358,113
2359,4
2360,665
2361,308
2362,0
2363,298
2364,352
2365,96
2366,26
2367,45
2368,19
2369,0
2370,0
2371,93
2372,27
2373,15
2374,217
2375,77
2376,85
2377,285
2378,329
2379,653
2380,148
2381,145
2382,524
2383,275
2384,166
2385,434
2386,120
2387,225
2388,2094
2389,314
2390,388
2391,362
2392,464
2393,514
2394,97
2395,6
2396,678
2397,151
2398,100
2399,12
2400,1245
2401,98
2402,3451
2403,1543
2404,916
2405,91
2406,17
2407,1080
2408,118
2409,227
2410,73
2411,103
2412,0
2413,7367
2414,760
2415,269
2416,2731
2417,2153
2418,387
2419,43
2420,205
2421,568
2422,5474
2423,486
2424,1535
2425,283
2426,213
2427,256
2428,8363
2429,333
2430,690
2431,419
2432,1276
2433,2246
2434,619
2435,1290
2436,447
2437,165
2438,509
2439,41
2440,43
2441,87
2442,12869
2443,1167
2444,549
2445,132
2446,2
2447,247
2448,1110
2449,241
2450,364
2451,263
2452,1318
2453,0
2454,79
2455,1177
2456,201
2457,450
2458,24
2459,354
2460,177
2461,202
2462,682
2463,593
2464,472
2465,605
2466,3878
2467,36
2468,287
2469,1312
2470,75
2471,281
2472,560
2473,1874
2474,102
2475,200
2476,471
2477,9886
2478,377
2479,189
2480,108
2481,7
2482,0
2483,880
2484,807
2485,833
2486,47
2487,207
2488,64
2489,61
2490,2116
2491,11
2492,610
2493,588
2494,472
2495,151
2496,0
2497,1209
2498,509
2499,125
2500,252
2501,134
2502,0
2503,12
2504,318
2505,158
2506,234
2507,0
2508,0
2509,0
2510,0
2511,0
2512,0
2513,0
2514,3
2515,0
2516,0
2517,0
2518,659
2519,80
2520,272
2521,211
2522,3
2523,0
2524,0
2525,497
2526,174
2527,589
2528,321
2529,433
2530,240
2531,46
2532,666
2533,531
2534,515
2535,317
2536,126
2537,777
2538,459
2539,188
2540,1122
2541,147
2542,312
2543,267
2544,380
2545,13
2546,3555
2547,396
2548,274
2549,666
2550,43
2551,229
2552,1124
2553,1175
2554,131
2555,519
2556,319
2557,109
2558,0
2559,355
2560,274
2561,122
2562,225
2563,364
2564,8
2565,119
2566,172
2567,594
2568,1012
2569,258
2570,426
2571,605
2572,144
2573,212
2574,494
2575,163
2576,31
2577,844
2578,265
2579,23
2580,1341
2581,972
2582,80
2583,89
2584,2512
2585,435
2586,118
2587,130
2588,567
2589,446
2590,90
2591,0
2592,748
2593,76
2594,186
2595,181
2596,507
2597,680
2598,146
2599,207
2600,735
2601,52
2602,254
2603,9
2604,163
2605,11
2606,166
2607,256
2608,20
2609,3380
2610,700
2611,266
2612,187
2613,1006
2614,613
2615,1199
2616,2065
2617,2876
2618,99
2619,22
2620,227
2621,16
2622,3
2623,28
2624,64
2625,503
2626,104
2627,183
2628,359
2629,242
2630,532
2631,943
2632,159
2633,316
2634,70
2635,3
2636,10
2637,0
2638,378
2639,295
2640,4720
2641,39
2642,0
2643,224
2644,77
2645,38
2646,472
2647,337
2648,94
2649,302
2650,0
2651,36
2652,101
2653,137
2654,183
2655,56
2656,49
2657,283
2658,7
2659,160
2660,315
2661,67
2662,4
2663,0
2664,0
2665,11
2666,49
2667,373
2668,341
2669,67
2670,219
2671,25
2672,8763
2673,259
2674,508
2675,59
2676,123
2677,0
2678,193
2679,40
2680,810
2681,250
2682,87
2683,5364
2684,0
2685,0
2686,19
2687,0
2688,0
2689,4
2690,0
2691,0
2692,77
2693,16
2694,276
2695,48
2696,299
2697,238
2698,114
2699,0
2700,47
2701,70
2702,0
2703,519
2704,154
2705,0
2706,0
2707,604
2708,29
2709,33
2710,21
2711,0
2712,0
2713,19
2714,207
2715,64
2716,5
2717,463
2718,872
2719,0
2720,0
2721,298
2722,28
2723,113
2724,1786
2725,4
2726,0
2727,0
2728,583
2729,164
2730,187
2731,219
2732,94
2733,71
2734,0
2735,161
2736,325
2737,7
2738,233
2739,1153
2740,192
2741,52
2742,101
2743,15
2744,16
2745,1198
2746,190
2747,4
2748,0
2749,448
2750,859
2751,0
2752,209
2753,34
2754,0
2755,0
2756,148
2757,3502
2758,1247
2759,130
2760,64
2761,0
2762,7
2763,48
2764,299
2765,0
2766,266
2767,3
2768,14
2769,0
2770,112
2771,316
2772,12
2773,339
2774,1155
2775,109
2776,167
2777,118
2778,156
2779,1268
2780,431
2781,256
2782,2
2783,0
2784,1847
2785,393
2786,270
2787,379
2788,204
2789,0
2790,258
2791,1063
2792,1565
2793,56
2794,144
2795,504
2796,0
2797,0
2798,729
2799,790
2800,335
2801,379
2802,129
2803,733
2804,203
2805,27
2806,170
2807,2430
2808,39
2809,0
2810,2
2811,0
2812,63
2813,521
2814,382
2815,1502
2816,44
2817,16
2818,0
2819,549
2820,1316
2821,3
2822,302
2823,107
2824,0
2825,0
2826,2785
2827,71
2828,256
2829,442
2830,183
2831,1041
2832,42
2833,27
2834,55
2835,4102
2836,641
2837,272
2838,14
2839,7
2840,39
2841,204
2842,285
2843,172
2844,615
2845,348
2846,163
2847,76
2848,506
2849,125
2850,1286
2851,446
2852,914
2853,554
2854,265
2855,403
2856,139
2857,2071
2858,0
2859,133
2860,7392
2861,44
2862,184
2863,90
2864,240
2865,112
2866,100
2867,55
2868,672
2869,117531
2870,69
2871,123
2872,0
2873,0
2874,0
2875,0
2876,261
2877,83
2878,269
2879,2778
2880,453
2881,61
2882,190
2883,1624
2884,105
2885,780
2886,1425
2887,130
2888,537
2889,592
2890,31
2891,2308
2892,130
2893,0
2894,0
2895,151
2896,1021
2897,65852
2898,262
2899,1932
2900,787
2901,121
2902,272
2903,2468
2904,627
2905,894
2906,1293
2907,535
2908,3113
2909,529
2910,197
2911,321
2912,643
2913,436
2914,507
2915,159
2916,229
2917,298
2918,318
2919,1121
2920,963
2921,199
2922,153
2923,43
2924,336
2925,158
2926,36
2927,9
2928,17
2929,23
2930,1918
2931,567
2932,149
