DAY,AMOUNT
1895,0
1896,150
1897,125
1898,101
1899,4
1900,93
1901,0
1902,0
1903,0
1904,208
1905,66
1906,0
1907,0
1908,333
1909,0
1910,0
1911,52
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,2
1920,0
1921,33
1922,37
1923,0
1924,265
1925,0
1926,0
1927,0
1928,109
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,2172
1937,20
1938,0
1939,0
1940,762
1941,629
1942,0
1943,2
1944,32
1945,0
1946,409
1947,0
1948,0
1949,0
1950,128
1951,0
1952,184
1953,89
1954,2
1955,2
1956,0
1957,0
1958,0
1959,62
1960,87
1961,18
1962,109
1963,72
1964,59
1965,109
1966,0
1967,26
1968,242
1969,64
1970,951
1971,8
1972,154
1973,110
1974,0
1975,0
1976,0
1977,218
1978,52
1979,0
1980,0
1981,0
1982,125
1983,4
1984,9
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,4
1997,0
1998,3
1999,22
2000,0
2001,0
2002,4
2003,9
2004,0
2005,17
2006,29
2007,0
2008,0
2009,0
2010,0
2011,2
2012,30
2013,0
2014,0
2015,0
2016,103
2017,24
2018,244
2019,0
2020,6
2021,62
2022,0
2023,0
2024,19
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,114
2034,0
2035,0
2036,0
2037,14
2038,14
2039,31
2040,19
2041,0
2042,0
2043,0
2044,56
2045,4
2046,178
2047,39
2048,0
2049,0
2050,25
2051,28
2052,249
2053,0
2054,0
2055,0
2056,0
2057,11
2058,12
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,0
2074,51
2075,35
2076,4
2077,25
2078,48
2079,0
2080,0
2081,6
2082,45
2083,0
2084,0
2085,0
2086,0
2087,0
2088,15
2089,10
2090,0
2091,0
2092,0
2093,15
2094,180
2095,0
2096,0
2097,0
2098,0
2099,0
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,0
2107,35
2108,60
2109,9
2110,262
2111,330
2112,0
2113,0
2114,83
2115,0
2116,2
2117,809
2118,0
2119,880
2120,47
2121,134
2122,19
2123,2
2124,0
2125,0
2126,0
2127,0
2128,0
2129,0
2130,0
2131,0
2132,0
2133,2
2134,0
2135,0
2136,0
2137,0
2138,0
2139,0
2140,0
2141,5
2142,247
2143,275
2144,0
2145,0
2146,48
2147,3
2148,0
2149,236
2150,0
2151,11
2152,119
2153,0
2154,0
2155,0
2156,481
2157,46
2158,0
2159,4
2160,8
2161,0
2162,0
2163,56
2164,0
2165,14
2166,0
2167,0
2168,0
2169,0
2170,0
2171,0
2172,0
2173,0
2174,0
2175,0
2176,0
2177,0
2178,0
2179,218
2180,0
2181,37
2182,0
2183,0
2184,0
2185,195
2186,1021
2187,22
2188,0
2189,0
2190,0
2191,1638
2192,263
2193,24
2194,0
2195,0
2196,0
2197,0
2198,88
2199,264
2200,159
2201,0
2202,5
2203,0
2204,84
2205,70
2206,16
2207,0
2208,81
2209,86
2210,0
2211,0
2212,0
2213,330
2214,15
2215,0
2216,0
2217,58
2218,0
2219,375
2220,0
2221,64
2222,0
2223,602
2224,0
2225,0
2226,65
2227,11
2228,0
2229,2
2230,88
2231,0
2232,0
2233,87
2234,0
2235,0
2236,0
2237,0
2238,0
2239,0
2240,0
2241,0
2242,35
2243,101
2244,0
2245,414
2246,0
2247,29
2248,136
2249,0
2250,8
2251,0
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,107
2262,0
2263,0
2264,7
2265,4
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,71
2273,0
2274,0
2275,0
2276,0
2277,0
2278,3
2279,0
2280,0
2281,0
2282,0
2283,0
2284,31
2285,444
2286,0
2287,0
2288,0
2289,1027
2290,245
2291,56
2292,343
2293,42
2294,0
2295,0
2296,2
2297,30
2298,0
2299,59
2300,0
2301,133
2302,0
2303,0
2304,606
2305,0
2306,34
2307,9
2308,0
2309,0
2310,102
2311,9
2312,0
2313,0
2314,0
2315,0
2316,0
2317,619
2318,120
2319,217
2320,345
2321,4
2322,0
2323,0
2324,368
2325,181
2326,3
2327,0
2328,0
2329,0
2330,0
2331,88
2332,85
2333,75
2334,2
2335,67
2336,0
2337,0
2338,0
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,0
2352,0
2353,3
2354,0
2355,7
2356,339
2357,0
2358,0
2359,82
2360,0
2361,26
2362,0
2363,0
2364,0
2365,0
2366,101
2367,15
2368,0
2369,12
2370,29
2371,23
2372,0
2373,39
2374,0
2375,0
2376,8
2377,0
2378,0
2379,0
2380,43
2381,134
2382,2
2383,0
2384,0
2385,5
2386,0
2387,72
2388,0
2389,211
2390,0
2391,0
2392,1080
2393,0
2394,126
2395,259
2396,0
2397,0
2398,0
2399,0
2400,36
2401,29
2402,0
2403,0
2404,4
2405,210
2406,0
2407,0
2408,56
2409,0
2410,27
2411,21
2412,78
2413,9
2414,0
2415,188
2416,0
2417,298
2418,55
2419,2
2420,0
2421,530
2422,2537
2423,199
2424,0
2425,19
2426,76
2427,5
2428,2
2429,871
2430,6
2431,81
2432,23
2433,97
2434,107
2435,0
2436,187
2437,7
2438,21
2439,13
2440,11
2441,101
2442,54
2443,0
2444,0
2445,191
2446,80
2447,6
2448,219
2449,54
2450,1778
2451,366
2452,2
2453,148
2454,30
2455,0
2456,7
2457,571
2458,68
2459,181
2460,182
2461,1243
2462,0
2463,0
2464,95
2465,92
2466,510
2467,33
2468,146
2469,0
2470,20
2471,36
2472,107
2473,29
2474,134
2475,0
2476,17
2477,57
2478,587
2479,56
2480,0
2481,0
2482,8
2483,0
2484,35
2485,368
2486,78
2487,0
2488,65
2489,13
2490,7
2491,0
2492,0
2493,280
2494,39
2495,0
2496,15
2497,66
2498,4
2499,72
2500,0
2501,3
2502,6
2503,0
2504,0
2505,0
2506,35
2507,0
2508,0
2509,113
2510,50
2511,0
2512,0
2513,24
2514,0
2515,0
2516,0
2517,0
2518,0
2519,0
2520,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2527,0
2528,0
2529,0
2530,28
2531,0
2532,0
2533,0
2534,59
2535,33
2536,0
2537,0
2538,4
2539,0
2540,0
2541,531
2542,0
2543,179
2544,192
2545,0
2546,0
2547,0
2548,174
2549,0
2550,0
2551,0
2552,3
2553,0
2554,0
2555,0
2556,7
2557,0
2558,0
2559,0
2560,0
2561,0
2562,235
2563,38
2564,221
2565,6
2566,0
2567,0
2568,0
2569,27
2570,0
2571,22
2572,23
2573,34
2574,0
2575,18
2576,28
2577,21
2578,127
2579,0
2580,1062
2581,8
2582,247
2583,110
2584,19
2585,0
2586,0
2587,13
2588,0
2589,0
2590,53
2591,3
2592,0
2593,30
2594,12
2595,49
2596,20
2597,89
2598,76
2599,26
2600,0
2601,9
2602,3
2603,0
2604,41
2605,98
2606,3
2607,153
2608,86
2609,3
2610,0
2611,98
2612,0
2613,131
2614,0
2615,8
2616,0
2617,0
2618,0
2619,192
2620,39
2621,0
2622,7
2623,0
2624,0
2625,0
2626,0
2627,119
2628,19
2629,0
2630,0
2631,0
2632,31
2633,2
2634,291
2635,27
2636,0
2637,0
2638,0
2639,160
2640,0
2641,7
2642,27
2643,14
2644,0
2645,2
2646,462
2647,416
2648,30
2649,63
2650,0
2651,0
2652,0
2653,24
2654,0
2655,179
2656,50
2657,127
2658,0
2659,45
2660,778
2661,40
2662,0
2663,0
2664,0
2665,0
2666,0
2667,57
2668,0
2669,146
2670,0
2671,19
2672,0
2673,36
2674,140
2675,0
2676,3
2677,0
2678,0
2679,0
2680,0
2681,5
2682,6
2683,0
2684,0
2685,0
2686,0
2687,0
2688,0
2689,98
2690,3
2691,26
2692,0
2693,0
2694,0
2695,0
2696,151
2697,108
2698,0
2699,11
2700,0
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2708,0
2709,0
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,107
2717,0
2718,0
2719,0
2720,0
2721,0
2722,0
2723,0
2724,0
2725,0
2726,0
2727,0
2728,0
2729,0
2730,0
2731,0
2732,0
2733,57
2734,2
2735,0
2736,0
2737,100
2738,0
2739,0
2740,0
2741,0
2742,0
2743,0
2744,0
2745,0
2746,0
2747,0
2748,5
2749,0
2750,0
2751,0
2752,0
2753,0
2754,5
2755,7
2756,0
2757,0
2758,0
2759,0
2760,0
2761,0
2762,0
2763,0
2764,0
2765,0
2766,2
2767,206
2768,0
2769,0
2770,0
2771,0
2772,0
2773,0
2774,12
2775,0
2776,34
2777,62
2778,0
2779,0
2780,0
2781,0
2782,0
2783,0
2784,0
2785,0
2786,0
2787,0
2788,0
2789,100
2790,8
2791,0
2792,0
2793,0
2794,6
2795,5
2796,148
2797,3
2798,0
2799,0
2800,0
2801,3
2802,0
2803,0
2804,0
2805,0
2806,0
2807,0
2808,0
2809,0
2810,0
2811,0
2812,0
2813,0
2814,0
2815,0
2816,22
2817,95
2818,3
2819,0
2820,0
2821,0
2822,0
2823,0
2824,0
2825,0
2826,0
2827,0
2828,0
2829,0
2830,0
2831,0
2832,0
2833,0
2834,0
2835,0
2836,0
2837,3
2838,3
2839,448
2840,0
2841,0
2842,84
2843,3
2844,0
2845,0
2846,0
2847,0
2848,4
2849,168
2850,0
2851,0
2852,23
2853,0
2854,0
2855,0
2856,46
2857,2980
2858,26
2859,141
2860,631
2861,0
2862,0
2863,71
2864,51
2865,0
2866,14
2867,0
2868,0
2869,0
2870,0
2871,421
2872,0
2873,0
2874,1897
2875,0
2876,0
2877,38
2878,0
2879,141
2880,26
2881,110
2882,0
2883,0
2884,0
2885,588
2886,158
2887,3
2888,41
2889,5
2890,0
2891,201
2892,0
2893,15
2894,40
2895,0
2896,0
2897,0
2898,19
2899,41
2900,87
2901,74
2902,3
2903,0
2904,0
2905,211
2906,0
2907,0
2908,0
2909,0
2910,0
2911,0
2912,0
2913,0
2914,69
2915,15
2916,6
2917,0
2918,0
2919,141
2920,242
2921,7
2922,0
2923,67
2924,0
2925,0
2926,38
2927,0
2928,0
2929,0
2930,0
2931,0
2932,0
2933,0
2934,0
2935,0
2936,0
2937,0
2938,0
2939,0
2940,0
2941,0
2942,3
2943,7
2944,0
2945,0
2946,0
2947,0
2948,0
2949,0
2950,371
2951,0
2952,0
2953,0
2954,14
2955,0
2956,0
2957,0
2958,0
2959,0
2960,0
2961,4
2962,0
2963,5
2964,0
2965,0
2966,0
2967,0
2968,0
2969,0
2970,0
2971,0
2972,0
2973,0
2974,0
2975,42
2976,20
2977,0
2978,0
